Words			Original Roots		Predicted roots
बिहार		बिहार			बिहार
के		का			का
महिला		महिला			महिला
आयोग		आयोग			आयोग
ने		ने			ने
बॉलीवुड		बॉलीवुड			बॉलीवुड
गायक		गायक			गायक
उदित		उदित			उदित
नारायण		नारायण			नारायण
की		का			का
पहली		पहला			पहला
पत्नी		पत्नी			पत्नी
होने		हो			हो
का		का			का
दावा		दावा			दावा
करने		कर			कर
वाली		वाला			वाला
महिला		महिला			महिला
की		का			का
शिकायत		शिकायत			शिकायत
पर		पर			पर
उन्हें		वह			वह
सोमवार		सोमवार			सोमवार
को		को			को
सम्मन		सम्मन			सम्मन
भेजा		भेज			भेज
है		है			है
।		।			।
राज्य		राज्य			राज्य
के		का			का
महिला		महिला			महिला
आयोग		आयोग			आयोग
की		का			का
अध्यक्ष		अध्यक्ष			अध्यक्ष
मंजू		मंजू			मंजू
प्रकाश		प्रकाश			प्रकाश
ने		ने			ने
उदित		उदित			उदित
नारायण		नारायण			नारायण
को		को			को
यह		यह			यह
नोटिस		नोटिस			नोटिस
उनके		वह			वह
मुंबई		मुंबई			मुंबई
के		का			का
पते		पता			पता
पर		पर			पर
भेजा		भेज			भेज
है		है			है
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
पहली		पहला			पहला
पत्नी		पत्नी			पत्नी
होने		हो			हो
का		का			का
दावा		दावा			दावा
करने		कर			कर
वाली		वाला			वाला
रंजना		रंजना			रंजना
नारायण		नारायण			नारायण
की		का			का
शिकायत		शिकायत			शिकायत
के		का			का
आधार		आधार			आधार
पर		पर			पर
उन्होंने		वह			वह
पंद्रह		पंद्रह			पंद्रह
दिन		दिन			दिन
के		के			का
अंदर		अंदर			अंदर
अपना		अपना			अपना
स्पष्टीकरण		स्पष्टीकरण			स्पष्टीकरण
देने		दे			दे
के		के			का
लिए		लिए			लिए
कहा		कह			कह
है		है			है
।		।			।
आयोग		आयोग			आयोग
ने		ने			ने
शनिवार		शनिवार			शनिवार
को		को			को
रंजना		रंजना			रंजना
की		का			का
शिकायत		शिकायत			शिकायत
को		को			को
प्रथम		प्रथम			प्रथम
दृष्टया		दृष्टया			दृष्टया
सही		सही			सही
पाया		पा			पा
था		था			था
।		।			।
मंजू		मंजू			मंजू
प्रकाश		प्रकाश			प्रकाश
ने		ने			ने
कहा		कह			कह
कि		कि			कि
बैंक		बैंक			बैंक
की		का			का
पासबुक		पासबुक			पासबुक
,		COMMA			UNNNNNNNNNNNNNNNNN
राशन		राशन			राशन
कार्ड		कार्ड			कार्ड
और		और			और
अन्य		अन्य			अन्य
परिस्थितिजन्य		परिस्थितिजन्य			पर्थथथिििज्य
साक्ष्यों		साक्ष्य			साक्ष्य
को		को			को
देखते		देख			देख
हुए		हो			हो
लगता		लग			लग
है		है			है
कि		कि			कि
गायक		गायक			गायक
उदित		उदित			उदित
नारायण		नारायण			नारायण
की		का			का
रंजना		रंजना			रंजना
से		से			से
शादी		शादी			शादी
हुई		हो			हो
थी		था			था
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
आयोग		आयोग			आयोग
इस		यह			यह
मामले		मामला			मामला
में		में			में
अब		अब			अब
कानूनी		कानूनी			कानूनी
कार्रवाई		कार्रवाई			कार्रवाई
करेगा		कर			कर
।		।			।
रंजना		रंजना			रंजना
चाहती		चाह			चाह
हैं		है			है
कि		कि			कि
उदित		उदित			उदित
उन्हें		वह			वह
उनका		वह			वह
हक		हक			हक
दें		दे			दे
।		।			।
वे		वह			वह
काफी		काफी			काफी
समय		समय			समय
से		से			से
उदित		उदित			उदित
से		से			से
अलग		अलग			अलग
रह		रह			रह
रही		रह			रह
हैं		है			है
।		।			।
भारी		भारी			भारी
बारिश		बारिश			बारिश
के		के			का
कारण		कारण			कारण
दोनों		दो			दो
मार्गों		मार्ग			मार्ग
में		में			में
फिसलन		फिसलन			फिसलन
को		को			को
देखते		देख			देख
हुए		हो			हो
अधिकारियों		अधिकारी			अधिकारी
ने		ने			ने
यात्रा		यात्रा			यात्रा
स्थगित		स्थगित			स्थगित
कर		कर			कर
दी		दे			दे
थी		था			था
।		।			।
उधर		उधर			उधर
जम्मू		जम्मू			जम्मू
से		से			से
प्राप्त		प्राप्त			प्राप्त
रिपोर्ट		रिपोर्ट			रिपोर्ट
के		के			का
मुताबिक		मुताबिक			मुताबिक
बुधवार		बुधवार			बुधवार
को		को			को
एमएएम		एमएएम			एमएएम
स्थित		स्थित			स्थित
बेस		बेस			बेस
कैंप		कैंप			कैंप
से		से			से
यात्रियों		यात्री			यात्री
को		को			को
आगे		आगे			आगे
बढ़ने		बढ़			बढ
की		का			का
इजाज़त		इजाजत			इजाज़
नहीं		नहीं			नहीं
दी		दे			दे
गई		जा			जा
।		।			।
नुनवान		नुनवान			नुनवान
व		व			व
बालटाल		बालटाल			बालटाल
बेस		बेस			बेस
कैंप		कैंप			कैंप
में		में			में
श्रद्धालुओं		श्रद्धालु			श्रद्धालु
की		का			का
भीड़		भीड़			भीड
को		को			को
देखते		देख			देख
हुए		हो			हो
नए		नया			नयाााााााााााााााा
जत्थे		जत्था			जत्था
को		को			को
आगे		आगे			आगे
बढ़ने		बढ़			बढ
की		का			का
इजाज़त		इजाजत			इजाज़
नहीं		नहीं			नहीं
दी		दे			दे
गई		जा			जा
।		।			।
अब		अब			अब
तक		तक			तक
1.25		1.25			1.25
लाख		लाख			लाख
श्रद्धालुओं		श्रद्धालु			श्रद्धालु
ने		ने			ने
अमरनाथ		अमरनाथ			अमरनाथ
में		में			में
पवित्र		पवित्र			पवित्र
हिम		हिम			हिम
शिवलिंग		शिवलिंग			शिवलिंग
का		का			का
दर्शन		दर्शन			दर्शन
किया		कर			कर
है		है			है
।		।			।
लोक		लोक			लोक
जनशक्ति		जनशक्ति			जनशक्ति
पार्टी		पार्टी			पार्टी
नेता		नेता			नेता
राम		राम			राम
विलास		विलास			विलास
पासवान		पासवान			पासवान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
बिहार		बिहार			बिहार
विधानसभा		विधानसभा			विधानसभा
