Words			Original Roots		Predicted roots
बिहार		बिहार			बनहारररररररररररररर
के		का			काेेेेेेेेेेेेेेेे
महिला		महिला			महनलाााााााााााााा
आयोग		आयोग			थपोग
ने		ने			िेेेेेेेेेेेेेेेेे
बॉलीवुड		बॉलीवुड			बझलीवुड
गायक		गायक			गापकवववववववववववववव
उदित		उदित			आदनततततततततततततततत
नारायण		नारायण			िारापण
की		का			कारररररररररररररररर
पहली		पहला			यहलीीीीीीीीीीीीीीी
पत्नी		पत्नी			यत्िी
होने		हो			हो
का		का			कााााााााााााााााा
दावा		दावा			दावााााााााााााााा
करने		कर			करिा
वाली		वाला			वालााााााााााााााा
महिला		महिला			महनलाााााााााााााा
की		का			कारररररररररररररररर
शिकायत		शिकायत			एनकापत
पर		पर			यररररररररररररररररर
उन्हें		वह			आि्ह
सोमवार		सोमवार			सोमवाररररररररररररर
को		को			कोोोोोोोोोोोोोोोोो
सम्मन		सम्मन			सम्मि
भेजा		भेज			भेज
है		है			ह।ोोोोोोोोोोोोोोोो
।		।			ैैैैैैैैैैैैैैैैैै
राज्य		राज्य			राज्प
के		का			काेेेेेेेेेेेेेेेे
महिला		महिला			महनलाााााााााााााा
आयोग		आयोग			थपोग
की		का			कारररररररररररररररर
अध्यक्ष		अध्यक्ष			चू्पक्ष
मंजू		मंजू			मंजइयययययययययययययय
प्रकाश		प्रकाश			य्रकाय
ने		ने			िेेेेेेेेेेेेेेेेे
उदित		उदित			आदनततततततततततततततत
नारायण		नारायण			िारापण
को		को			कोोोोोोोोोोोोोोोोो
यह		यह			पहहहहहहहहहहहहहहहहह
नोटिस		नोटिस			िोअनस
उनके		वह			आिके
मुंबई		मुंबई			मुंबफफफफफफफफफफफफफफ
के		का			काेेेेेेेेेेेेेेेे
पते		पता			यते्््््््््््््््
पर		पर			यररररररररररररररररर
भेजा		भेज			भेज
है		है			ह।ोोोोोोोोोोोोोोोो
।		।			ैैैैैैैैैैैैैैैैैै
उन्होंने		वह			आि्हंिे
कहा		कह			कह
कि		कि			कननननननननननननननननन
पहली		पहला			यहलीीीीीीीीीीीीीीी
पत्नी		पत्नी			यत्िी
होने		हो			हो
का		का			कााााााााााााााााा
दावा		दावा			दावााााााााााााााा
करने		कर			करिा
वाली		वाला			वालााााााााााााााा
रंजना		रंजना			रंजिाााााााााााााा
नारायण		नारायण			िारापण
की		का			कारररररररररररररररर
शिकायत		शिकायत			एनकापत
के		का			काेेेेेेेेेेेेेेेे
आधार		आधार			थूाररररररररररररररर
पर		पर			यररररररररररररररररर
उन्होंने		वह			आि्हंिे
पंद्रह		पंद्रह			यंद्रहहहहहहहहहहहहह
दिन		दिन			दनि
के		के			काेेेेेेेेेेेेेेेे
अंदर		अंदर			चंदररररररररररररररर
अपना		अपना			चयिााााााााााााााा
स्पष्टीकरण		स्पष्टीकरण			स्यष्अीकरण
देने		दे			दे
के		के			काेेेेेेेेेेेेेेेे
लिए		लिए			लनशशशशशशशशशशशशशशशश
कहा		कह			कह
है		है			ह।ोोोोोोोोोोोोोोोो
।		।			ैैैैैैैैैैैैैैैैैै
आयोग		आयोग			थपोग
ने		ने			िेेेेेेेेेेेेेेेेे
शनिवार		शनिवार			एिनवाररररररररररररर
को		को			कोोोोोोोोोोोोोोोोो
रंजना		रंजना			रंजिाााााााााााााा
की		का			कारररररररररररररररर
शिकायत		शिकायत			एनकापत
को		को			कोोोोोोोोोोोोोोोोो
प्रथम		प्रथम			य्रउमममममममममममममम
दृष्टया		दृष्टया			दॉष्अपा
सही		सही			सहीीीीीीीीीीीीीीीी
पाया		पा			यापााााााााााााााा
था		था			उााााााााााााााााा
।		।			ैैैैैैैैैैैैैैैैैै
मंजू		मंजू			मंजइयययययययययययययय
प्रकाश		प्रकाश			य्रकाय
ने		ने			िेेेेेेेेेेेेेेेेे
कहा		कह			कह
कि		कि			कननननननननननननननननन
बैंक		बैंक			ब।ंक
की		का			कारररररररररररररररर
पासबुक		पासबुक			यासबुककककककककककककक
,		COMMA			औऔऔऔऔऔऔऔऔऔऔऔऔऔऔऔऔऔ
राशन		राशन			राएि
कार्ड		कार्ड			कार्ड
और		और			Uररररररररररररररररर
अन्य		अन्य			चि्प
परिस्थितिजन्य		परिस्थितिजन्य			यरनस्उनतनजि्प
साक्ष्यों		साक्ष्य			साक्ष्प
को		को			कोोोोोोोोोोोोोोोोो
देखते		देख			देख
हुए		हो			हुश
लगता		लग			लग
है		है			ह।ोोोोोोोोोोोोोोोो
कि		कि			कननननननननननननननननन
गायक		गायक			गापकवववववववववववववव
उदित		उदित			आदनततततततततततततततत
नारायण		नारायण			िारापण
की		का			कारररररररररररररररर
रंजना		रंजना			रंजिाााााााााााााा
से		से			सेेेेेेेेेेेेेेेेे
शादी		शादी			एादीीीीीीीीीीीीीीी
हुई		हो			हुफफफफफफफफफफफफफफफफ
थी		था			उीहहहहहहहहहहहहहहहह
।		।			ैैैैैैैैैैैैैैैैैै
उन्होंने		वह			आि्हंिे
कहा		कह			कह
कि		कि			कननननननननननननननननन
आयोग		आयोग			थपोग
इस		यह			धससससससससससससससससस
मामले		मामला			मामलाााााााााााााा
में		में			मेंंंंंंंंंंंंंंंं
अब		अब			चबबबबबबबबबबबबबबबबब
कानूनी		कानूनी			कािइिी
कार्रवाई		कार्रवाई			कार्रवाफफफफफफफफफफफ
करेगा		कर			कर
।		।			ैैैैैैैैैैैैैैैैैै
रंजना		रंजना			रंजिाााााााााााााा
चाहती		चाह			टाही
हैं		है			ह।ँँँँँँँँँँँँँँँँ
कि		कि			कननननननननननननननननन
उदित		उदित			आदनततततततततततततततत
उन्हें		वह			आि्ह
उनका		वह			आिक
हक		हक			हक
दें		दे			दे
।		।			ैैैैैैैैैैैैैैैैैै
वे		वह			वहहहहहहहहहहहहहहहहह
काफी		काफी			काई
समय		समय			समप
से		से			सेेेेेेेेेेेेेेेेे
उदित		उदित			आदनततततततततततततततत
से		से			सेेेेेेेेेेेेेेेेे
अलग		अलग			चलग
रह		रह			रहहहहहहहहहहहहहहहहह
रही		रह			रह
हैं		है			ह।ँँँँँँँँँँँँँँँँ
।		।			ैैैैैैैैैैैैैैैैैै
भारी		भारी			भारीीीीीीीीीीीीीीी
बारिश		बारिश			बारनए
के		के			काेेेेेेेेेेेेेेेे
कारण		कारण			कारण
दोनों		दो			दो
मार्गों		मार्ग			मार्ग
में		में			मेंंंंंंंंंंंंंंंं
फिसलन		फिसलन			ईनसलिििििििििििििि
को		को			कोोोोोोोोोोोोोोोोो
देखते		देख			देख
हुए		हो			हुश
अधिकारियों		अधिकारी			चूनकारनप
ने		ने			िेेेेेेेेेेेेेेेेे
यात्रा		यात्रा			पात्रा
स्थगित		स्थगित			स्उगनततततततततततततत
कर		कर			कररररररररररररररररर
दी		दे			देेेेेेेेेेेेेेेेे
थी		था			उीहहहहहहहहहहहहहहहह
।		।			ैैैैैैैैैैैैैैैैैै
उधर		उधर			आूर...............
जम्मू		जम्मू			जम्मइ
से		से			सेेेेेेेेेेेेेेेेे
प्राप्त		प्राप्त			य्राय्तततततततततततत
रिपोर्ट		रिपोर्ट			रनयोर्अ
के		के			काेेेेेेेेेेेेेेेे
मुताबिक		मुताबिक			मुताबनक
बुधवार		बुधवार			बुूवाररररररररररररर
को		को			कोोोोोोोोोोोोोोोोो
एमएएम		एमएएम			शमशशम्््््््््््््
स्थित		स्थित			स्उनतततततततततततततत
बेस		बेस			बेसससससससससससससससस
कैंप		कैंप			क।ंययययययययययययययय
से		से			सेेेेेेेेेेेेेेेेे
यात्रियों		यात्री			पात्रनप
को		को			कोोोोोोोोोोोोोोोोो
आगे		आगे			थग
बढ़ने		बढ़			ब(ृिाााााााााााााा
की		का			कारररररररररररररररर
इजाज़त		इजाजत			धजाजृततततततततततततत
नहीं		नहीं			िहीं
दी		दे			देेेेेेेेेेेेेेेेे
गई		जा			गफँँँँँँँँँँँँँँँँ
।		।			ैैैैैैैैैैैैैैैैैै
नुनवान		नुनवान			िुिवाििििििििििििि
व		व			वववववववववववववववववव
बालटाल		बालटाल			बालअाललललललललललललल
बेस		बेस			बेसससससससससससससससस
कैंप		कैंप			क।ंययययययययययययययय
में		में			मेंंंंंंंंंंंंंंंं
श्रद्धालुओं		श्रद्धालु			ए्रद्ूालु
की		का			कारररररररररररररररर
भीड़		भीड़			भीडृृृृृृृृृृृृृृृ
को		को			कोोोोोोोोोोोोोोोोो
देखते		देख			देख
हुए		हो			हुश
नए		नया			िशशशशशशशशशशशशशशशशश
जत्थे		जत्था			जत्वा
को		को			कोोोोोोोोोोोोोोोोो
आगे		आगे			थग
बढ़ने		बढ़			ब(ृिाााााााााााााा
की		का			कारररररररररररररररर
इजाज़त		इजाजत			धजाजृततततततततततततत
नहीं		नहीं			िहीं
दी		दे			देेेेेेेेेेेेेेेेे
गई		जा			गफँँँँँँँँँँँँँँँँ
।		।			ैैैैैैैैैैैैैैैैैै
अब		अब			चबबबबबबबबबबबबबबबबब
तक		तक			तककककककककककककककककक
1.25		1.25			ढ़ठ३)दददददददददददददद
लाख		लाख			लाख
श्रद्धालुओं		श्रद्धालु			ए्रद्ूालु
ने		ने			िेेेेेेेेेेेेेेेेे
अमरनाथ		अमरनाथ			चमरिाउ
में		में			मेंंंंंंंंंंंंंंंं
पवित्र		पवित्र			यवनत्र््््््््््््
हिम		हिम			हनम
शिवलिंग		शिवलिंग			एनवलनंग
का		का			कााााााााााााााााा
दर्शन		दर्शन			दर्एि
किया		कर			कनपा
है		है			ह।ोोोोोोोोोोोोोोोो
।		।			ैैैैैैैैैैैैैैैैैै
लोक		लोक			लोक
जनशक्ति		जनशक्ति			जिएक्तनततततततततततत
पार्टी		पार्टी			यार्अीीीीीीीीीीीीी
नेता		नेता			िेतााााााााााााााा
राम		राम			रामममममममममममममममम
विलास		विलास			वनलासससससससससससससस
पासवान		पासवान			यासवाििििििििििििि
ने		ने			िेेेेेेेेेेेेेेेेे
कहा		कह			कह
कि		कि			कननननननननननननननननन
बिहार		बिहार			बनहारररररररररररररर
विधानसभा		विधानसभा			वनूािसभााााााााााा
चुनाव		चुनाव			टुिावववववववववववववव
के		का			काेेेेेेेेेेेेेेेे
परिणाम		परिणाम			यरनणाममममममममममममम
का		का			कााााााााााााााााा
असर		असर			चसरररररररररररररररर
केंद्र		केंद्र			केंद्ररररररररररररर
की		का			कारररररररररररररररर
यूपीए		यूपीए			पइयीश
सरकार		सरकार			सरकारररररररररररररर
की		का			कारररररररररररररररर
स्थिरता		स्थिरता			स्उनरताााााााााााा
पर		पर			यररररररररररररररररर
नहीं		नहीं			िहीं
पड़ेगा		पड़			याेग
।		।			ैैैैैैैैैैैैैैैैैै
उन्होंने		वह			आि्हंिे
कहा		कह			कह
कि		कि			कननननननननननननननननन
इस		यह			धससससससससससससससससस
बार		बार			बारररररररररररररररर
राज्य		राज्य			राज्प
में		में			मेंंंंंंंंंंंंंंंं
त्रिशंकु		त्रिशंकु			त्रनएंकु
विधानसभा		विधानसभा			वनूािसभााााााााााा
नहीं		नहीं			िहीं
होगी		हो			हो
।		।			ैैैैैैैैैैैैैैैैैै
बंगलौर		बंगलौर			बंगलड़र
में		में			मेंंंंंंंंंंंंंंंं
पत्रकारों		पत्रकार			यत्रकार
से		से			सेेेेेेेेेेेेेेेेे
बातचीत		बातचीत			बातटीततततततततततततत
में		में			मेंंंंंंंंंंंंंंंं
पासवान		पासवान			यासवाििििििििििििि
ने		ने			िेेेेेेेेेेेेेेेेे
कहा		कह			कह
कि		कि			कननननननननननननननननन
चुनावी		चुनावी			टुिावीीीीीीीीीीीीी
लड़ाई		लड़ाई			ललाफफफफफफफफफफफफफफफ
बिहार		बिहार			बनहारररररररररररररर
तक		तक			तककककककककककककककककक
ही		ही			हीीीीीीीीीीीीीीीीी
सीमित		सीमित			सीमनतततततततततततततत
है		है			ह।ोोोोोोोोोोोोोोोो
।		।			ैैैैैैैैैैैैैैैैैै
यूपीए		यूपीए			पइयीश
का		का			कााााााााााााााााा
गठन		गठन			ग-ि
राजग		राजग			राजगगगगगगगगगगगगगगग
को		को			कोोोोोोोोोोोोोोोोो
सत्ता		सत्ता			सत्ताााााााााााााा
से		से			सेेेेेेेेेेेेेेेेे
हटाने		हटा			हााि
के		के			काेेेेेेेेेेेेेेेे
लिए		लिए			लनशशशशशशशशशशशशशशशश
किया		कर			कनपा
गया		जा			गपा
था		था			उााााााााााााााााा
।		।			ैैैैैैैैैैैैैैैैैै
उन्होंने		वह			आि्हंिे
जोर		जोर			जोर
देते		दे			दे
हुए		हो			हुश
कहा		कह			कह
कि		कि			कननननननननननननननननन
वे		वह			वहहहहहहहहहहहहहहहहह
चुनाव		चुनाव			टुिावववववववववववववव
से		से			सेेेेेेेेेेेेेेेेे
पहले		पहले			यहलेेेेेेेेेेेेेेे
या		या			पााााााााााााााााा
