Type::  <class 'tensorflow.python.framework.ops.Tensor'>
Words			Roots			POS			gender			Number			Person			Case			TAM

कुत्ते			कुत्ता			n			m			sg			3			o			0
को			को			punc			Unk			Unk			Unk			Unk			Unk
बिस्कुट			बिस्कुट			adv			Unk			Unk			Unk			Unk			Unk
दे			दे			v			any			any			any			Unk			0
दो			दो			num			any			any			Unk			any			Unk
हम			हम			avy			Unk			Unk			Unk			Unk			Unk
कल			कल			num			any			any			Unk			Unk			Unk
आएंगे			आ			v			m			sg			3			Unk			gA
जो			जो			num			any			any			Unk			any			Unk
बोले			बोल			n			any			sg			Unk			d			0
सो			सो			num			any			any			Unk			Unk			Unk
निहाल			निहाल			punc			Unk			Unk			Unk			Unk			Unk
बस			बस			n			any			sg			3			d			0
ये			यह			num			any			any			Unk			Unk			Unk
पेपर			पेपर			n			any			any			Unk			Unk			Unk
पब्लिश			पब्लिश			n			any			any			Unk			Unk			Unk
हो			हो			v			any			any			any			Unk			0
जाये			जा			punc			Unk			Unk			Unk			Unk			Unk
कल			कल			num			any			any			Unk			any			Unk
क्रिकेट			क्रिकेट			n			any			sg			3			d			0
मैच			मैच			n			m			sg			3			o			0
में			में			punc			Unk			Unk			Unk			Unk			Unk
इंडिया			इंडिया			n			f			sg			3			o			0
ने			ने			punc			Unk			Unk			Unk			Unk			Unk
पाकिस्तान			पाकिस्तान			n			m			sg			3			o			0
को			को			punc			Unk			Unk			Unk			Unk			Unk
हराया			हरा			v			any			sg			any			Unk			yA
प्याज			प्याज			n			m			sg			3			d			0
खाने			खा			n			any			sg			3			o			0
का			का			punc			Unk			Unk			Unk			Unk			Unk
असली			असली			adj			any			any			Unk			d			Unk
मज़ा			मजा			num			any			any			Unk			any			Unk
मुट्ठ			मुट्ठ			num			any			sg			Unk			d			Unk
मारके			मार			v			any			any			Unk			Unk			Unk
आता			आ			v			any			sg			Unk			Unk			Unk
है			है			punc			Unk			Unk			Unk			Unk			Unk
